# Usage Map: Supporting Local Token Census
# Purpose: Summarize token-bearing rows retained in local history-derived artifacts.
# Warning: This file is not authoritative proof of hidden-vs-intentional usage by itself; read it together with the markdown reports.
# Important: Most large rows here are intentional codexfarm benchmark activity, not the hidden QualitySuite baseline issue.
# Categories used here are descriptive helper labels, not billing-truth classes.
timestamp,category,tokens,input_tokens,llm_recipe,line_role,file,run_dir,config_hash
2026-03-03T22:53:41,Automated: Full LLM Stack,1593410,1475345,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/saltfatacidheatCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_22.48.38/single-offline-benchmark/saltfatacidheatcutdown/codexfarm,ea83cde6
2026-03-03T22:47:08,Automated: Full LLM Stack,2072564,1949372,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_22.45.09/single-offline-benchmark/seaandsmokecutdown/codexfarm,0a1a1a56
2026-03-03T22:12:12,Automated: Full LLM Stack,742708,667213,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_22.09.35_seaandsmoke-profeedback-codex-pass3skip,d898a632
2026-03-03T22:07:27,Automated: Full LLM Stack,1047966,934480,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_22.04.09_seaandsmoke-profeedback-codex2,5a9709f0
2026-03-03T22:04:15,Automated: Full LLM Stack,2565892,2447114,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_21.55.20_seaandsmoke-profeedback-codex,88d864d9
2026-03-03T20:53:04,Automated: Full LLM Stack,1354019,1213981,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_20.49.14/single-offline-benchmark/seaandsmokecutdown/codexfarm,ddf1fc2e
2026-03-03T20:22:27,Automated: Full LLM Stack,6321934,6108506,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_20.13.14/single-offline-benchmark/seaandsmokecutdown/codexfarm,644a5ea1
2026-03-03T20:12:11,Automated: Full LLM Stack,1577132,1500288,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_20.05.26/single-offline-benchmark/seaandsmokecutdown/codexfarm,c0dc2147
2026-03-03T19:56:13,Automated: Full LLM Stack,1285078,1165169,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_19.51.01/single-offline-benchmark/seaandsmokecutdown/codexfarm,cea0aff5
2026-03-03T19:45:23,Automated: Full LLM Stack,15837703,15470130,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_19.41.28_seaandsmoke-next-buckets,3679282b
2026-03-03T18:34:21,Automated: Full LLM Stack,949165,842722,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_18.31.00/single-offline-benchmark/seaandsmokecutdown/codexfarm,a8e277ec
2026-03-03T16:05:13,Automated: Full LLM Stack,2249697,2115013,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_15.52.28/single-offline-benchmark/seaandsmokecutdown/codexfarm,c5533b2b
2026-03-03T15:33:34,Automated: Full LLM Stack,1731382,1615621,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_15.29.59,842464a0
2026-03-03T15:18:12,Automated: Full LLM Stack,8947549,8689016,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_15.07.45/single-offline-benchmark/seaandsmokecutdown/codexfarm_medium,61cac1cc
2026-03-03T14:40:35,Automated: Full LLM Stack,13915013,13579546,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_14.34.08/single-offline-benchmark/seaandsmokecutdown/codexfarm,01ae25df
2026-03-03T13:40:45,Automated: Recipe LLM Only,6337926,6039722,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_13.37.54/single-offline-benchmark/seaandsmokecutdown/codexfarm,63563bfe
2026-03-03T13:08:47,Automated: Recipe LLM Only,1315247,1227829,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_13.07.22/single-offline-benchmark/seaandsmokecutdown/codexfarm,9e0b296b
2026-03-02_23.33.49,Automated: Recipe LLM Only,19052717,18712335,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-02_23.33.49/single-offline-benchmark/seaandsmokecutdown/codexfarm,86a68cc4
2026-03-02_23.15.01,Automated: Recipe LLM Only,13665192,13342264,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-02_23.15.01/single-offline-benchmark/seaandsmokecutdown/codexfarm,4be5f947
