hour,run_id,pipeline,call_count,tokens_total,tokens_input,tokens_output,tokens_cached,models,source_type
2026-03-04 15:00,db81167c38264302bd8d9e0e4d2fa6d6,recipe.chunking.v1,6,4566,4566,0,0,gpt-5.3-codex-spark,worker
2026-03-04 15:00,87561f939d834756a16bdc732a0e5e24,recipe.chunking.v1,6,4566,4566,0,0,gpt-5.3-codex-spark,worker
2026-03-04 15:00,a144c344d9af487c98e9a8ced7f85a79,recipe.chunking.v1,6,4566,4566,0,0,gpt-5.3-codex-spark,worker
2026-03-04 15:00,b29ae396f3b04fd1be2bcbefc220698c,recipe.chunking.v1,86,796594,796594,0,0,gpt-5.3-codex-spark,worker
2026-03-04 15:00,7ef877d333ff4fe4aa1772797673768b,recipe.chunking.v1,101,912061,912061,0,0,gpt-5.3-codex-spark,worker
2026-03-04 15:00,0dcdef8a355a4b8991852172341d3826,recipe.chunking.v1,49,271105,271105,0,0,gpt-5.3-codex-spark,worker
2026-03-04 13:00,51d4386719c042d68c7a6526a4e6cea8,recipe.chunking.v1,67,1146766,1106722,40044,442368,gpt-5.1-codex-mini,worker
2026-03-04 13:00,7884e8fb737c4c8f9e26fc7e721f6680,recipe.schemaorg.v1,67,1768235,1635935,132300,1207552,gpt-5.1-codex-mini,worker
2026-03-04 13:00,7211aba4dcfd46359b362f18a88a58bb,recipe.final.v1,34,12208540,11971129,237411,10306176,gpt-5.1-codex-mini,worker
2026-03-04 12:00,cad2fc83171c41c5bb5524c456a88817,recipe.chunking.v1,12,169285,153852,15433,67584,gpt-5.3-codex-spark,worker
2026-03-04 12:00,c54f11aa745e43499a442eee5ebac9ce,recipe.schemaorg.v1,15,169096,139473,29623,67584,gpt-5.3-codex-spark,worker
2026-03-04 12:00,6808dda521b24af6b7099c61650d1e87,recipe.schemaorg.v1,20,233023,169971,63052,90112,gpt-5.3-codex-spark,worker
2026-03-04 12:00,9701c32890904ef796d8cabcba619fc1,recipe.schemaorg.v1,67,655757,546855,108902,360448,gpt-5.3-codex-spark,worker
2026-03-04 12:00,142c322df8824e87adf3ede9fe61aa9f,recipe.final.v1,15,438836,403324,35512,296192,gpt-5.3-codex-spark,worker
2026-03-04 12:00,294df11aa12a4f8ba3dc76d32874e073,recipe.final.v1,4,140845,128835,12010,105600,gpt-5.3-codex-spark,worker
2026-03-04 12:00,5525b2bad8c743a998cc8c64a481f0e1,recipe.final.v1,45,3248630,3121901,126729,2800384,gpt-5.3-codex-spark,worker
