# Supporting Mapping: History Rows And Pipeline Shapes
# Purpose: List token-bearing history rows together with recipe/line-role pipeline settings for review.
# Warning: This file is not a pure leak list; many rows are intentional codexfarm runs and therefore have is_leak=False.
# Use Case: Trace which rows are intentional full-stack usage versus hybrid or recipe-only usage before drawing conclusions.
run_timestamp,tokens_total,llm_recipe_pipeline,line_role_pipeline,file_name,is_leak,run_dir,run_config_hash
2026-03-04T20:39:54,1970083,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/DinnerFor2CUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-04_20.33.53/single-profile-benchmark/01_dinnerfor2cutdown/codexfarm,70b4ea61
2026-03-04T08:11:01,1850004,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/thefoodlabCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-04_06.58.16/single-profile-benchmark/05_thefoodlabcutdown/codexfarm,0f57c318
2026-03-03T15:33:34,1731382,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_15.29.59,842464a0
2026-03-04T20:38:38,1656288,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/saltfatacidheatCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-04_20.33.53/single-profile-benchmark/02_saltfatacidheatcutdown/codexfarm,70b4ea61
2026-03-03T22:53:41,1593410,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/saltfatacidheatCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_22.48.38/single-offline-benchmark/saltfatacidheatcutdown/codexfarm,ea83cde6
2026-03-03T20:12:11,1577132,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_20.05.26/single-offline-benchmark/seaandsmokecutdown/codexfarm,c0dc2147
2026-03-03T23:46:59,1359174,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_23.27.32/single-profile-benchmark/04_seaandsmokecutdown,a2b64ae3
2026-03-03T20:53:04,1354019,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_20.49.14/single-offline-benchmark/seaandsmokecutdown/codexfarm,ddf1fc2e
2026-03-03T13:08:47,1315247,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_13.07.22/single-offline-benchmark/seaandsmokecutdown/codexfarm,9e0b296b
2026-03-03T19:56:13,1285078,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_19.51.01/single-offline-benchmark/seaandsmokecutdown/codexfarm,cea0aff5
2026-03-04T07:06:48,1274837,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-04_06.58.16/single-profile-benchmark/04_seaandsmokecutdown/codexfarm,51463b83
2026-03-03T23:45:51,1249943,codex-farm-3pass-v1,off,/home/mcnal/projects/recipeimport/data/input/saltfatacidheatCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_23.27.32/single-profile-benchmark/03_saltfatacidheatcutdown,f34fcc39
2026-03-03T22:07:27,1047966,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_22.04.09_seaandsmoke-profeedback-codex2,5a9709f0
2026-03-03T18:34:21,949165,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_18.31.00/single-offline-benchmark/seaandsmokecutdown/codexfarm,a8e277ec
2026-03-04T07:54:20,925982,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/saltfatacidheatCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-04_06.58.16/single-profile-benchmark/03_saltfatacidheatcutdown/codexfarm,36fc698f
2026-03-04T07:02:09,881306,codex-farm-3pass-v1,codex-line-role-v1,/home/mcnal/projects/recipeimport/data/input/DinnerFor2CUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-04_06.58.16/single-profile-benchmark/01_dinnerfor2cutdown/codexfarm,03a3e055
2026-03-03T22:12:12,742708,codex-farm-3pass-v1,codex-line-role-v1,data/input/SeaAndSmokeCUTDOWN.epub,False,/home/mcnal/projects/recipeimport/data/golden/benchmark-vs-golden/2026-03-03_22.09.35_seaandsmoke-profeedback-codex-pass3skip,d898a632
